result_id,student_id,quiz_section,question_id,question_text,student_answer,correct_answer,is_correct,knowledge_areas,timestamp
00517bdc-19c1-426e-95ef-8c06f7fad5bd,df7bc867-3592-4173-851d-569b9860811f,fraction_addition,add_3,Hasil dari $$1 \frac{1}{2} + \frac{1}{4}$$ adalah...,B. $$1 \frac{3}{4}$$,B,true,"[""addition""]",2026-03-05 09:28:19.788723
01611288-d5b3-4e4a-82e9-47714390315a,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,ordering_fractions,ord_3,Tanda pembanding yang tepat untuk $$\frac{3}{5} ... \frac{4}{7}$$ adalah...,B. >,B,true,"[""ordering""]",2026-03-10 04:35:37.557974
03447bb6-f733-498d-887a-6f322fc14b6d,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,ordering_fractions,ord_3,Tanda pembanding yang tepat untuk $$\frac{3}{5} ... \frac{4}{7}$$ adalah...,B. >,B,true,"[""ordering""]",2026-03-10 04:50:07.078063
04a1b68b-3f92-4d73-9342-9440e144b7c7,f04d9933-09aa-4abe-aa21-27f15084bf8f,ordering_fractions,ord_2,"Urutan pecahan $$\frac{1}{2}, \frac{1}{3}, \frac{1}{4}$$ dari yang terkecil adalah...","C. $$\frac{1}{4}, \frac{1}{3}, \frac{1}{2}$$",C,true,"[""ordering""]",2026-03-11 10:16:51.999192
0681e7ac-e7d1-4628-afbd-af2073d5668f,1762723a-9551-499a-b970-c168c3def60c,fraction_addition,add_4,Ibu membeli $$\frac{3}{4}$$ kg telur dan $$\frac{1}{2}$$ kg tepung. Total berat belanjaan Ibu adalah...,C. $$\frac{4}{6}$$ kg,A,false,"[""addition""]",2026-03-05 09:24:31.159217
06d22ad2-de0a-4cba-942c-962ec2b6fb15,df7bc867-3592-4173-851d-569b9860811f,ordering_fractions,ord_3,Tanda pembanding yang tepat untuk $$\frac{3}{5} ... \frac{4}{7}$$ adalah...,B. >,B,true,"[""ordering""]",2026-03-05 09:25:21.892648
07a64eb5-0128-495e-9eda-d11e7aeab940,1eead7ec-be42-45fd-b156-09f249ea566f,ordering_fractions,ord_4,Pecahan yang terletak di antara $$\frac{1}{5}$$ dan $$\frac{3}{5}$$ adalah...,B. $$\frac{4}{5}$$,A,false,"[""ordering""]",2026-03-05 09:22:31.028406
08cc0eca-085a-4282-9a11-e04e47b496a5,38834b1c-5088-4e5c-bdec-46a6785828c8,ordering_fractions,ord_4,Pecahan yang terletak di antara $$\frac{1}{5}$$ dan $$\frac{3}{5}$$ adalah...,A. $$\frac{2}{5}$$,A,true,"[""ordering""]",2026-03-05 09:18:13.390595
0a0f8ef6-bada-44f3-aadc-5051bc68311b,db042083-a72d-4b2c-9a5c-acba6a7334da,fraction_addition,add_2,Hasil dari $$\frac{2}{5} + \frac{1}{2}$$ adalah...,C. $$\frac{9}{10}$$,C,true,"[""addition""]",2026-03-07 22:26:53.172442
0a922820-8038-4a39-829a-2498ae15bfd3,2676eceb-8c8d-42b8-aa3b-215c30884c8a,ordering_fractions,ord_3,Tanda pembanding yang tepat untuk $$\frac{3}{5} ... \frac{4}{7}$$ adalah...,B. >,B,true,"[""ordering""]",2026-03-09 20:20:05.375848
0b9c9349-f3d0-4776-a5e6-cb1ec5c0b227,3ef7ff62-6b05-4ef5-aaa6-7b48be842f09,fraction_addition,add_4,Ibu membeli $$\frac{3}{4}$$ kg telur dan $$\frac{1}{2}$$ kg tepung. Total berat belanjaan Ibu adalah...,A. $$1 \frac{1}{4}$$ kg,A,true,"[""addition""]",2026-03-05 09:24:47.34286
0bb9c185-3181-47c0-861d-c3c54ca32cdc,df7bc867-3592-4173-851d-569b9860811f,ordering_fractions,ord_2,"Urutan pecahan $$\frac{1}{2}, \frac{1}{3}, \frac{1}{4}$$ dari yang terkecil adalah...","A. $$\frac{1}{2}, \frac{1}{3}, \frac{1}{4}$$",C,false,"[""ordering""]",2026-03-05 09:25:19.504481
0cbdee67-890e-4525-a41e-ddad6a587557,1762723a-9551-499a-b970-c168c3def60c,fraction_multiplication,mul_3,Hasil dari $$\frac{1}{2} \times \frac{4}{7}$$ adalah...,B. $$\frac{2}{7}$$,B,true,"[""multiplication""]",2026-03-05 09:32:21.06627
0cfc04b7-e10c-4b6b-a7cc-928afda60eda,304658fd-24f8-4b55-83d1-2627cc251c10,ordering_fractions,ord_3,Tanda pembanding yang tepat untuk $$\frac{3}{5} ... \frac{4}{7}$$ adalah...,B. >,B,true,"[""ordering""]",2026-03-05 09:19:43.397876
0d78dd3d-db0f-4af9-b36b-80018416986e,1762723a-9551-499a-b970-c168c3def60c,fraction_addition,add_3,Hasil dari $$1 \frac{1}{2} + \frac{1}{4}$$ adalah...,A. $$1 \frac{2}{4}$$,B,false,"[""addition""]",2026-03-09 13:17:35.876697
0eeb3c10-5aae-43a9-b547-8e4bbf311bd8,1762723a-9551-499a-b970-c168c3def60c,fraction_subtraction,sub_3,Hasil dari $$2 - \frac{3}{4}$$ adalah...,B. $$1 \frac{1}{4}$$,B,true,"[""subtraction""]",2026-03-05 09:29:00.94684
0f0ba0ab-2976-4fde-b5cb-2b696a015389,2ef7e723-a3c5-4d16-8a21-4163c6b6f6cd,fraction_multiplication,mul_3,Hasil dari $$\frac{1}{2} \times \frac{4}{7}$$ adalah...,C. $$\frac{4}{14}$$,B,false,"[""multiplication""]",2026-03-09 13:31:26.53918
125e928a-2fcd-4b70-900e-5dad011923c7,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,fraction_multiplication,mul_4,Hasil dari $$2 \frac{1}{2} \times \frac{1}{2}$$ adalah...,B. $$1 \frac{1}{4}$$,B,true,"[""multiplication""]",2026-03-10 05:13:27.367747
13d8bd58-8c11-42fe-9b78-8620d6e59737,cef191bb-daf1-4707-a563-f5c8266d4a08,ordering_fractions,ord_3,Tanda pembanding yang tepat untuk $$\frac{3}{5} ... \frac{4}{7}$$ adalah...,B. >,B,true,"[""ordering""]",2026-03-09 20:19:00.840174
1551b589-69bb-42ca-870d-3a68f7882b50,1654af33-3f96-4c53-90ef-2b01e06c17af,fraction_addition,add_2,Hasil dari $$\frac{2}{5} + \frac{1}{2}$$ adalah...,C. $$\frac{9}{10}$$,C,true,"[""addition""]",2026-03-10 05:59:05.396438
161abcea-5479-46cb-84be-a5fd5a05acad,6ebb0c6a-01be-45fe-b9a3-e6d7fc534da2,ordering_fractions,ord_3,Tanda pembanding yang tepat untuk $$\frac{3}{5} ... \frac{4}{7}$$ adalah...,B. >,B,true,"[""ordering""]",2026-03-05 09:26:52.851298
16ae214a-4160-429b-85ed-7d4510c624fc,1762723a-9551-499a-b970-c168c3def60c,fraction_addition,add_2,Hasil dari $$\frac{2}{5} + \frac{1}{2}$$ adalah...,A. $$\frac{3}{7}$$,C,false,"[""addition""]",2026-03-09 13:17:37.265893
