feedback_id,student_id,username,answer_type,question_key,question,answer,section,submitted_at
02420873-00ce-49f4-8d54-3617b0942031,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,YPSSTUDENT_028,likert,feedback_quality_1,Feedback yang diberikan tutor membantu saya memahami kesalahan saya.,3,Feedback Quality,2026-03-10 09:41:11.298912
02420873-00ce-49f4-8d54-3617b0942031,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,YPSSTUDENT_028,likert,feedback_quality_2,"Feedback dari tutor tidak langsung memberikan jawaban, tetapi membantu saya berpikir.",3,Feedback Quality,2026-03-10 09:41:11.298912
02420873-00ce-49f4-8d54-3617b0942031,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,YPSSTUDENT_028,likert,feedback_quality_3,Penjelasan yang diberikan tutor mudah dimengerti.,3,Feedback Quality,2026-03-10 09:41:11.298912
02420873-00ce-49f4-8d54-3617b0942031,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,YPSSTUDENT_028,likert,feedback_quality_4,Feedback dari tutor relevan dengan jawaban yang saya berikan.,2,Feedback Quality,2026-03-10 09:41:11.298912
02420873-00ce-49f4-8d54-3617b0942031,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,YPSSTUDENT_028,likert,feedback_quality_5,Feedback dari tutor membantu saya menemukan cara yang benar untuk menyelesaikan soal.,3,Feedback Quality,2026-03-10 09:41:11.298912
02420873-00ce-49f4-8d54-3617b0942031,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,YPSSTUDENT_028,likert,system_usability_1,Sistem tutor ini mudah digunakan.,2,System Usability,2026-03-10 09:41:11.298912
02420873-00ce-49f4-8d54-3617b0942031,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,YPSSTUDENT_028,likert,system_usability_2,Instruksi yang diberikan oleh sistem jelas dan mudah dipahami.,2,System Usability,2026-03-10 09:41:11.298912
02420873-00ce-49f4-8d54-3617b0942031,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,YPSSTUDENT_028,likert,system_usability_3,Saya dapat menggunakan sistem ini tanpa kesulitan yang sangat menghambat.,2,System Usability,2026-03-10 09:41:11.298912
02420873-00ce-49f4-8d54-3617b0942031,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,YPSSTUDENT_028,likert,system_usability_4,Tampilan sistem tutor mudah dipahami.,3,System Usability,2026-03-10 09:41:11.298912
02420873-00ce-49f4-8d54-3617b0942031,b9b1fa4c-afdc-4b3f-bc16-03873b7c5f2d,YPSSTUDENT_028,likert,system_usability_5,Saya dapat mengikuti langkah-langkah pembelajaran dengan baik menggunakan sistem ini.,3,System Usability,2026-03-10 09:41:11.298912
