task_id,level,question,solution,created_at,knowledge_area_ordering,knowledge_area_addition,knowledge_area_subtraction,knowledge_area_multiplication,knowledge_area_division
0000e8c0-255e-4e05-8aa2-bab371aa7d20,Low,Hitunglah: $$1\frac{2}{7}$$ + $$1\frac{1}{7}$$,$$2\frac{3}{7}$$,2026-02-24 12:21:20.772155,false,true,false,false,false
0021d8bf-9b06-440e-aa04-d2b6bbe446eb,High,Hitunglah: $$1\frac{1}{2}$$ \div $$\frac{1}{2}$$ - $$\frac{3}{10}$$,$$2\frac{7}{10}$$,2026-02-24 12:21:20.772155,false,false,true,false,true
006366e1-b000-486c-9053-1dfd3e766777,Low,Hitunglah: $$\frac{5}{7}$$ - $$\frac{2}{7}$$,$$\frac{3}{7}$$,2026-02-24 12:21:19.677503,false,false,true,false,false
00a6e526-86f6-481d-a2c2-5dc19cc17d80,High,Hitunglah: $$1$$ + $$2\frac{1}{2}$$ - $$\frac{1}{4}$$,$$3\frac{1}{4}$$,2026-02-24 12:21:20.772155,false,true,true,false,false
00ac40c4-9697-43d0-8b9b-5d8351fda19e,Low,Hitunglah: $$3$$ + $$\frac{1}{3}$$,$$3\frac{1}{3}$$,2026-02-24 12:21:19.677503,false,true,false,false,false
00dcd6cb-591c-4a65-898d-ff554957d0cf,Low,Hitunglah: $$5\frac{5}{6}$$ + $$4\frac{5}{6}$$,$$10\frac{2}{3}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
00e5b3eb-88c6-476f-86e4-98ce1d7a7dbf,Low,Hitunglah: $$4\frac{1}{2}$$ \times $$1\frac{2}{5}$$,$$6\frac{3}{10}$$,2026-02-24 12:21:19.677503,false,false,false,true,false
0140b2f7-b036-4877-a907-55d5619e4fdc,Low,"Urutkan pecahan berikut dari terbesar ke terkecil: $$1\frac{1}{6}$$, $$\frac{1}{4}$$, $$1$$","$$1\frac{1}{6}$$, $$1$$, $$\frac{1}{4}$$",2026-02-24 12:21:19.677503,true,false,false,false,false
0154c423-bcd4-45b6-9343-fb9471f38305,Low,Hitunglah: $$2\frac{1}{2}$$ - $$\frac{1}{4}$$,$$2\frac{1}{4}$$,2026-02-24 12:21:19.677503,false,false,true,false,false
016430ae-142e-447a-b72e-1d03461c7a42,High,Hitunglah: $$1\frac{1}{3}$$ + $$5\frac{1}{3}$$ + $$3\frac{2}{9}$$,$$9\frac{8}{9}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
018bdd89-47e2-4a84-b8d4-b2170f82a392,Low,Hitunglah: $$1\frac{1}{2}$$ \times $$1\frac{3}{7}$$,$$2\frac{1}{7}$$,2026-02-24 12:21:19.677503,false,false,false,true,false
01d9abba-59c7-4ab1-811a-ee282354e628,Low,Hitunglah: $$1\frac{2}{7}$$ \div $$\frac{4}{7}$$,$$2\frac{1}{4}$$,2026-02-24 12:21:19.677503,false,false,false,false,true
024a41a4-b1f0-4c48-9810-a4fa800751c4,Low,Hitunglah: $$3\frac{5}{8}$$ + $$\frac{3}{4}$$,$$4\frac{3}{8}$$,2026-02-24 12:21:19.677503,false,true,false,false,false
026b8c23-db77-4312-b656-badc41f5b609,Low,Hitunglah: $$3\frac{4}{7}$$ \times $$\frac{4}{5}$$,$$2\frac{6}{7}$$,2026-02-24 12:21:20.772155,false,false,false,true,false
028c5b54-7acb-4bfc-991c-b6277bbc54db,Low,Hitunglah: $$1\frac{3}{7}$$ \times $$6$$,$$8\frac{4}{7}$$,2026-02-24 12:21:19.677503,false,false,false,true,false
02c5c572-564a-4d1f-9633-475069376e7e,Low,"Urutkan pecahan berikut dari terbesar ke terkecil: $$5\frac{3}{5}$$, $$3\frac{1}{3}$$, $$1\frac{1}{4}$$, $$\frac{2}{3}$$","$$5\frac{3}{5}$$, $$3\frac{1}{3}$$, $$1\frac{1}{4}$$, $$\frac{2}{3}$$",2026-02-24 12:21:19.677503,true,false,false,false,false
02d5a05c-a589-4225-9853-af1e2934eb76,Low,Manakah yang lebih besar: $$\frac{1}{4}$$ atau $$1$$?,$$1$$,2026-02-24 12:21:19.677503,true,false,false,false,false
031ef7ab-c2b3-4928-ae6f-27cbba787195,Low,Hitunglah: $$4\frac{1}{2}$$ + $$5\frac{1}{2}$$,$$10$$,2026-03-02 04:35:26.287887,false,true,false,false,false
03472707-2eef-47b5-88fb-a08ddec60abf,Low,Hitunglah: $$1\frac{3}{4}$$ + $$5\frac{3}{4}$$,$$7\frac{1}{2}$$,2026-03-02 04:35:26.287887,false,true,false,false,false
